housing_median_age,total_bedrooms,households,median_income,median_house_value
41,129,126,8.3252,452600
21,1106,1138,8.3014,358500
52,190,177,7.2574,352100
52,235,219,5.6431,341300
52,280,259,3.8462,342200
52,213,193,4.0368,269700
52,489,514,3.6591,299200
52,687,647,3.12,241400
42,665,595,2.0804,226700
52,707,714,3.6912,261100
52,434,402,3.2031,281500
52,752,734,3.2705,241800
52,474,468,3.075,213500
52,191,174,2.6736,191300
52,626,620,1.9167,159200
50,283,264,2.125,140000
52,347,331,2.775,152500
52,293,303,2.1202,155500
50,455,419,1.9911,158700
52,298,275,2.6033,162900
40,184,166,1.3578,147500
42,367,366,1.7135,159800
52,541,478,1.725,113900
52,337,325,2.1806,99700
52,437,422,2.6,132600
41,123,119,2.4038,107500
49,244,239,2.4597,93800
52,421,397,1.808,105500
50,492,473,1.6424,108900
52,160,155,1.6875,132000
49,447,378,1.9274,122300
52,481,441,1.9615,115200
48,409,335,1.7969,110400
49,366,329,1.375,104900
51,574,536,2.7303,109700
49,282,264,1.4861,97200
48,432,374,1.0972,104500
52,390,403,1.4103,103900
52,330,309,3.48,191400
52,715,696,2.5898,176000
52,419,395,2.0978,155400
51,311,249,1.2852,150000
49,202,189,1.025,118800
52,202,198,3.9643,188800
52,311,292,3.0125,184400
52,420,382,2.6768,182300
50,322,304,2.026,142500
43,312,253,1.7348,137500
40,195,160,0.9506,187500
40,375,352,1.775,112500
21,453,438,0.9218,171900
43,456,407,1.5045,93800
41,853,720,1.1108,97500
52,456,400,1.2475,104200
52,235,233,1.6098,87500
52,243,220,1.4113,83100
52,288,259,1.5057,87500
52,335,244,0.8172,85300
52,341,304,1.2171,80300
2,43,57,2.5625,60000
52,211,187,3.3929,75700
49,29,23,6.1183,75000
50,190,122,0.9011,86100
52,237,159,1.191,76100
48,182,133,2.5938,73500
52,209,187,1.1667,78400
48,354,332,0.8056,84400
52,244,147,2.6094,81300
52,109,82,1.8516,85000
46,644,611,0.9802,129200
26,152,127,1.7719,82500
46,297,277,0.7286,95200
49,204,152,1.75,75000
46,4,7,0.4999,67500
20,161,133,2.483,137500
17,462,439,0.9241,177500
36,562,509,2.4464,102100
19,243,207,1.1111,108300
23,374,325,0.8026,112500
38,176,155,2.0114,131300
17,289,289,1.5,162500
52,56,56,1.1667,112500
52,97,87,1.5208,112500
52,164,155,0.8075,137500
35,184,169,1.8088,118800
52,143,115,2.4083,98200
40,451,380,0.977,118800
10,348,330,0.76,162500
10,42,39,0.9722,137500
52,78,85,1.2434,500001
16,392,362,2.0938,162500
52,87,88,0.8668,137500
52,31,34,0.75,162500
27,347,302,2.6354,187500
39,623,467,1.8477,179200
36,2477,2323,2.0096,130000
31,1331,1180,2.8345,183800
29,107,91,2.0062,125000
22,1270,1250,1.2185,170000
37,1085,980,2.6104,193100
29,1414,1250,2.4912,257800
28,1603,1497,3.2177,273400
39,242,228,3.125,237500
52,701,613,2.5795,350000
34,1914,1789,2.8406,335700
52,225,244,4.9306,313400
52,482,456,3.2727,268500
52,460,422,3.1691,259400
52,751,718,3.9,275700
28,855,802,3.9063,225000
52,289,253,5.0917,262500
32,1098,1022,2.6429,218500
26,1196,1217,3.0233,255000
52,559,519,3.1484,224100
35,428,422,3.4722,243100
52,287,291,3.1429,231600
28,1750,1661,2.4234,218500
52,1105,1037,3.0897,234100
50,399,373,5.8596,327600
47,454,485,5.2868,347600
41,406,376,5.956,366100
37,54,47,4.9643,335000
52,411,403,6.3434,373600
52,574,555,5.1773,389500
52,365,367,7.2354,391100
28,1048,956,5.457,337300
50,473,479,7.5,295200
44,597,597,6.0194,292300
40,674,654,7.5544,411500
30,346,343,6.0666,311500
34,490,496,7.0548,325900
18,210,194,11.6017,392600
35,460,443,7.4882,319300
34,788,766,6.8976,333300
28,184,190,8.2049,335200
26,223,211,8.401,351200
29,271,269,6.8538,368900
32,264,263,8.317,365900
37,181,176,7.0175,366700
39,534,500,6.3302,362800
30,38,52,6.3624,483300
52,333,350,7.0549,331400
45,436,426,6.7851,323500
50,605,552,2.8929,216700
38,535,487,3.0812,233100
52,212,224,5.2402,296400
52,335,308,6.5217,273700
52,465,460,3.2632,227700
52,464,441,3.0298,199600
52,541,515,4.5428,239800
52,339,340,4.072,270100
52,536,521,5.3509,302100
52,486,459,3.1603,269500
52,229,213,4.7708,314700
52,402,380,8.1564,390100
52,292,258,8.8793,410300
52,313,327,6.8591,352400
52,238,256,6.0302,287300
52,365,352,7.508,348700
52,550,483,2.7477,243800
52,168,175,2.1944,211500
52,510,488,3.0149,218400
52,502,518,3.675,269900
46,835,747,3.225,218800
42,1065,1015,2.9345,225000
43,792,722,2.1429,250000
41,469,413,1.6121,171400
29,864,773,1.3929,193800
27,492,429,2.3173,125000
45,526,460,1.7772,97500
50,188,196,2.6458,125000
52,391,363,2.181,138800
36,606,543,2.2303,116700
43,647,644,1.6504,151800
52,228,228,2.2697,127000
52,373,347,2.1563,128600
52,398,335,2.1348,140600
47,588,554,2.6292,182700
52,289,257,2.3833,146900
52,420,401,2.957,122800
49,749,677,2.5238,169300
52,184,186,1.9375,126600
51,414,392,1.9028,127900
50,480,415,2.25,123500
52,299,280,2.3929,111900
43,1344,1231,2.1917,112800
52,395,412,2.9357,107900
30,264,263,1.8854,137500
39,431,389,2.1638,105500
47,395,303,2.125,95500
52,180,168,3.375,116100
43,376,357,2.2542,112200
51,43,55,2.1,75000
39,129,123,1.6,112500
52,237,227,3.625,125000
20,779,676,1.6929,115000
52,128,138,1.6471,95000
52,301,259,2.59,96400
52,206,183,2.57,72000
52,146,126,2.6429,71300
52,215,213,3.0257,80800
50,530,477,1.4886,128800
43,472,438,1.9338,112500
52,258,255,1.4844,119400
44,825,751,1.6009,118100
48,396,343,2.0375,122500
49,217,219,2.293,106300
37,574,523,2.1494,132500
30,145,140,1.6198,122700
40,199,184,1.3281,113300
44,314,272,3.5156,109500
52,690,685,3.9048,164700
52,190,195,3.0893,125000
46,575,527,2.6042,124700
49,450,424,2.5,136700
38,711,659,2.7969,141700
29,376,340,2.8321,150000
47,307,292,2.9583,138800
34,557,516,2.8365,139200
35,409,386,2.875,143800
39,500,464,3.0682,156500
39,447,446,3.0757,151000
43,499,455,4.9559,273000
52,293,268,4.7721,217100
52,711,706,3.4861,187100
41,354,340,5.1184,239600
48,263,252,4.0977,229700
48,259,238,4.744,257300
46,341,332,4.2727,246900
50,195,184,2.9844,179900
40,256,235,4.1739,169600
46,405,399,3.8487,203300
52,271,277,4.0114,263400
45,451,454,4.6563,231800
28,761,669,2.9297,140500
35,459,390,2.3036,126000
49,195,210,2.6667,122000
44,452,491,2.619,134700
45,533,474,2.4167,139400
45,528,480,2.7788,115400
46,508,569,2.7352,137300
52,300,269,1.8472,137000
52,224,245,2.6583,142600
49,244,245,3.0536,137500
44,710,610,2.3906,111700
43,460,407,1.7188,126800
47,248,241,2.625,111300
40,114,135,2.8015,114800
50,473,440,1.7276,102300
44,514,495,2.0801,131900
51,463,393,2.489,119100
52,314,300,1.7546,80600
52,173,137,4.0904,80600
52,153,149,2.6765,88800
49,498,483,2.4338,102400
46,375,354,2.3309,98700
43,328,277,2.2604,1.00E+05
42,254,263,1.8039,92300
39,597,537,2.2562,94800
41,415,341,2.0562,102000
52,443,423,3.5398,158400
39,399,376,3.1167,121600
50,403,378,2.5401,129100
43,502,484,2.898,121400
44,414,393,2.3125,102800
52,180,168,2.875,160000
52,428,425,3.3715,143900
52,445,417,3.5114,151200
52,415,375,4.3125,164400
52,397,369,3.22,156500
33,31,47,3.875,225000
49,205,209,5.2328,174200
52,193,190,3.7262,166900
45,332,327,4.5893,163500
39,95,106,5.2578,253000
41,233,214,7.0875,240700
46,387,329,3.9712,208100
47,243,256,2.9514,198100
50,217,201,2.6667,172800
37,262,266,5.4446,336700
34,195,195,6.2838,318200
23,336,328,6.7527,285800
24,317,324,7.0712,293000
22,2048,1967,5.9849,371000
42,260,267,3.6875,157300
30,746,703,2.875,135300
43,440,407,3.4205,136700
50,322,284,3.2984,160700
49,177,181,3.875,140600
52,128,121,4.175,144000
47,NA,218,4.375,161900
48,194,180,4.7708,156300
45,397,384,3.5739,176000
39,349,316,3.0958,145800
39,342,322,3.3958,141900
31,533,452,1.871,90700
41,367,355,1.9356,90600
47,413,382,2.1842,107900
37,358,320,2.2917,107000
38,397,354,2.4333,98200
50,261,246,1.9479,89500
52,175,165,3.9063,93800
49,452,451,1.8407,96700
27,236,157,2.0786,97500
42,257,268,2.8125,97300
43,408,367,1.8913,91200
49,282,269,1.7056,91400
52,547,554,2.2768,96200
51,471,438,3.2552,120100
52,362,366,2.0556,1.00E+05
52,391,350,2.4659,94700
47,259,279,1.75,85700
41,510,454,2.0469,89300
45,393,349,2.7159,101400
41,207,159,1.2083,72500
45,238,237,1.925,74100
36,132,133,1.5809,70000
37,736,667,1.4097,84600
38,370,351,0.7683,81800
19,565,520,1.3194,81400
28,189,162,0.8012,81800
26,297,303,1.9479,85800
36,212,159,1.1765,87100
42,154,123,2.3456,83500
44,253,244,2.1538,79700
43,147,155,2.5139,83400
45,291,287,1.2625,84700
42,215,198,2.9063,80000
43,293,285,2.5192,76400
44,119,136,2.1111,79700
42,874,780,2.455,82400
41,445,414,2.4028,97700
47,134,137,2.15,97200
43,193,179,2.4776,101600
43,371,341,2.1587,86500
35,126,109,1.8438,90500
46,226,225,3.0298,107600
46,183,178,2.25,84200
46,391,354,2.2467,88900
45,76,80,4.0469,80700
46,218,195,1.325,87100
38,NA,259,1.6196,85100
45,261,260,2.1731,82000
36,263,150,1.9167,82800
43,233,213,2.069,84600
36,214,166,1.712,82100
33,307,286,2.5625,89300
43,320,306,1.9821,98300
41,271,230,2.5043,92300
44,248,254,2.3281,88800
48,390,349,1.4375,90000
45,514,484,2.5122,95500
38,624,482,1.5625,91700
47,211,185,3.1587,100400
40,343,342,1.8426,94800
46,307,302,4.6696,164300
36,574,519,2.4598,155500
39,286,270,6.0749,196900
27,365,355,4.8304,279100
34,231,211,5.5701,252800
26,491,533,5.37,275400
