name,team,games,att,cmp,comp_pct,yds,ypa,td,int,sack,loss,rating
Ryan Tannehill,TEN,12.00,286.00,201.00,70.30,2742.00,9.60,22.00,6.00,31.00,212.00,117.50
Drew Brees,NO,11.00,378.00,281.00,74.30,2979.00,7.90,27.00,4.00,12.00,89.00,116.30
Lamar Jackson,BAL,15.00,401.00,265.00,66.10,3127.00,7.80,36.00,6.00,23.00,106.00,113.30
Kirk Cousins,MIN,15.00,444.00,307.00,69.10,3603.00,8.10,26.00,6.00,28.00,206.00,107.40
Russell Wilson,SEA,16.00,516.00,341.00,66.10,4110.00,8.00,31.00,5.00,48.00,319.00,106.30
Matthew Stafford,DET,8.00,291.00,187.00,64.30,2499.00,8.60,19.00,5.00,18.00,137.00,106.00
Patrick Mahomes,KC,14.00,484.00,319.00,65.90,4031.00,8.30,26.00,5.00,17.00,127.00,105.30
Jimmy Garoppolo,SF,16.00,476.00,329.00,69.10,3978.00,8.40,27.00,13.00,36.00,237.00,102.00
Derek Carr,OAK,16.00,513.00,361.00,70.40,4054.00,7.90,21.00,8.00,29.00,184.00,100.80
Dak Prescott,DAL,16.00,596.00,388.00,65.10,4902.00,8.20,30.00,11.00,23.00,151.00,99.70
Deshaun Watson,HOU,15.00,495.00,333.00,67.30,3852.00,7.80,26.00,12.00,44.00,257.00,98.00
Aaron Rodgers,GB,16.00,569.00,353.00,62.00,4002.00,7.00,26.00,4.00,36.00,284.00,95.40
Carson Wentz,PHI,16.00,607.00,388.00,63.90,4039.00,6.70,27.00,7.00,37.00,230.00,93.10
Matt Ryan,ATL,15.00,616.00,408.00,66.20,4466.00,7.20,26.00,14.00,48.00,316.00,92.10
Case Keenum,WAS,10.00,247.00,160.00,64.80,1707.00,6.90,11.00,5.00,15.00,145.00,91.30
Gardner Minshew,JAX,14.00,470.00,285.00,60.60,3271.00,7.00,21.00,6.00,33.00,184.00,91.20
Philip Rivers,LAC,16.00,591.00,390.00,66.00,4615.00,7.80,23.00,20.00,34.00,222.00,88.50
Tom Brady,NE,16.00,613.00,373.00,60.90,4057.00,6.60,24.00,8.00,27.00,185.00,88.00
Jacoby Brissett,IND,15.00,447.00,272.00,60.90,2942.00,6.60,18.00,6.00,27.00,159.00,88.00
Daniel Jones,NYG,13.00,459.00,284.00,61.90,3027.00,6.60,24.00,12.00,38.00,295.00,87.70
Kyler Murray,ARI,16.00,542.00,349.00,64.40,3722.00,6.90,20.00,12.00,48.00,309.00,87.40
Jared Goff,LA,16.00,626.00,394.00,62.90,4638.00,7.40,22.00,16.00,22.00,170.00,86.50
Ryan Fitzpatrick,MIA,15.00,502.00,311.00,62.00,3529.00,7.00,20.00,13.00,40.00,209.00,85.50
Josh Allen,BUF,16.00,461.00,271.00,58.80,3089.00,6.70,20.00,9.00,38.00,237.00,85.30
Joe Flacco,DEN,8.00,262.00,171.00,65.30,1822.00,7.00,6.00,5.00,26.00,194.00,85.10
Sam Darnold,NYJ,13.00,441.00,273.00,61.90,3024.00,6.90,19.00,13.00,33.00,212.00,84.30
Jameis Winston,TB,16.00,626.00,380.00,60.70,5109.00,8.20,33.00,30.00,47.00,282.00,84.30
Mitchell Trubisky,CHI,15.00,516.00,326.00,63.20,3138.00,6.10,17.00,10.00,38.00,234.00,83.00
Mason Rudolph,PIT,10.00,283.00,176.00,62.20,1765.00,6.20,13.00,9.00,15.00,124.00,82.00
Kyle Allen,CAR,13.00,489.00,303.00,62.00,3322.00,6.80,17.00,16.00,46.00,397.00,80.00
Baker Mayfield,CLE,16.00,534.00,317.00,59.40,3827.00,7.20,22.00,21.00,40.00,285.00,78.80
Andy Dalton,CIN,13.00,528.00,314.00,59.50,3494.00,6.60,16.00,14.00,37.00,249.00,78.30
