weight,hwy_mpg
2548,27
2548,27
2823,26
2337,30
2824,22
2507,25
2844,25
2954,25
3086,20
3053,22
2395,29
2395,29
2710,28
2765,28
3055,25
3230,22
3380,22
3505,20
1488,53
1874,43
1909,43
1876,41
1876,38
2128,30
1967,38
1989,38
1989,38
2191,30
2535,30
2811,24
1713,54
1819,38
1837,42
1940,34
1956,34
2010,34
2024,34
2236,33
2289,33
2304,33
2372,33
2465,28
2293,31
2337,29
1874,43
1909,43
2734,29
4066,19
4066,19
3950,17
1890,31
1900,38
1905,38
1945,38
1950,38
2380,23
2380,23
2385,23
2500,23
2385,32
2410,32
2385,32
2410,32
2443,42
2425,32
2670,27
2700,39
3515,25
3750,25
3495,25
3770,25
3740,18
3685,18
3900,16
3715,16
2910,24
1918,41
1944,38
2004,38
2145,30
2370,30
2328,32
2833,24
2921,24
2926,24
2365,32
2405,32
2403,30
2403,30
1889,37
2017,50
1918,37
1938,37
2024,37
1951,37
2028,37
1971,37
2037,37
2008,37
2324,34
2302,34
3095,22
3296,22
3060,25
3071,25
3139,23
3139,25
3020,24
3197,33
3230,24
3430,25
3075,24
3252,33
3285,24
3485,25
3075,24
3252,33
3130,24
1918,41
2128,30
1967,38
1989,38
2191,38
2535,30
2818,24
2778,27
2756,25
2756,25
2800,25
3366,28
2579,31
2460,31
2658,28
2695,28
2707,28
2758,28
2808,26
2847,26
2050,36
2120,31
2240,31
2145,37
2190,33
2340,32
2385,25
2510,29
2290,32
2455,31
2420,29
2650,23
1985,39
2040,38
2015,38
2280,37
2290,32
3110,32
2081,37
2109,37
2275,36
2275,47
2094,47
2122,34
2140,34
2169,34
2204,34
2265,29
2300,29
2540,30
2536,30
2551,30
2679,30
2714,30
2975,30
2326,34
2480,33
2414,32
2414,32
2458,32
2976,24
3016,24
3131,24
3151,24
2261,46
2209,34
2264,46
2212,34
2275,34
2319,42
2300,32
2254,29
2221,29
2661,24
2579,38
2563,31
2912,28
3034,28
2935,28
3042,28
3045,22
3157,22
2952,28
3049,25
3012,23
3217,27
3062,25
